client_id,date,montant,libelle,gt_categorie,gt_mensonge
1,2024-01-06,-6338.0,paiMt-FAct.EnEo/REF9731984,ELEC,0
1,2024-01-08,-1481199.0,paIEE  LoYErBlR REF4806837 AGMAR 1/04,LOYER,0
1,2024-01-14,19238.0,eNVoIE Momo au boSs/TPE1761/25/08,MOMO,0
1,2024-01-14,-8337.0,OpR nJAN,NJANGUI,0
1,2024-01-15,-7971.0,DeBcotisAtION_TontInE REF383522 TPE50248,NJANGUI,0
1,2024-01-16,-27737.0,On a choPREF2251056TPE7759403/10,CHOP,0
1,2024-01-20,-2354.0,ACh TpE dEPO,TRANSPORT,0
1,2024-01-21,-126564.0,paImt lOYER MenSuelREF475700AGMARTPE3851,LOYER,0
1,2024-01-23,-766.0,PMt/CArBU*REF408201*AGEBW*TPE97639,TRANSPORT,0
1,2024-01-23,-17359.0,PMt-pRov_cHOP,CHOP,0
1,2024-01-24,-44611.0,coURant/,ELEC,0
1,2024-01-26,99919.0,omTr*nga REF7351109 689,MOMO,0
1,2024-01-29,935300.0,PAIe/REF7692148/AGBAF/16/10,SALAIRE,0
1,2024-01-31,-25921.0,EnEoPREPAid,ELEC,0
1,2024-02-07,-8931.0,cAsH-oT-om*AGYDE*TPE37886*683****85*26/06,MOMO,0
1,2024-02-11,-1311.0,EnCAsxT MT,MOMO,0
1,2024-02-15,-23079.0,EnCaSXT*beT.ShARPsHArP/REF3526104/TPE83408/683****33,PARI,0
1,2024-02-19,-18556.0,MISe*mOtO.Bet/REF6598223/AGMAR/TPE24282/672****70,PARI,0
1,2024-02-22,-9047.0,Ach_tPe_,NJANGUI,0
1,2024-02-25,-12653.0,trF.CHoP.don*fiNisH/REF835030/AGGAR/TPE94422/17/10,CHOP,0
1,2024-03-01,-7848.0,Trf  fR_rEJEt.PreL REF3385032,AGIOS,0
1,2024-03-03,-70620.0,MOMO sEnd-sHarP shARp*R,MOMO,0
1,2024-03-05,26088.0,XEB*PrET*FmL*REF4729539*667****41,DASH,0
1,2024-03-09,-13686.0,viR  cHOPmArCHe//REF32252866,CHOP,0
1,2024-03-17,-22926.0,bET_lES//Mbom/AGKRI/6$6****90/08/10,PARI,0
1,2024-03-22,-2268.0,pAiMt$clandO,TRANSPORT,0
1,2024-03-26,889941.0,Oprr vRt-saR/REF,SALAIRE,0
1,2024-03-27,-18374.0,AImt AcHT marcHETPE2888827/10,CHOP,0
2,2024-01-01,-7072.0,dEPoTREF5790709AGNGD,MOMO,0
2,2024-01-02,-6534.0,pmTcAmwAtER/REF347874XAGDLA,EAU,0
2,2024-01-03,-48551.0,PmT COuraNt,ELEC,0
2,2024-01-04,-2111.0,Trf taxI-FoRtREF1235355AGNGD,TRANSPORT,0
2,2024-01-04,-9850.0,pmuc/PaRiRE*7500725AGYDE661****1221/05,PARI,0
2,2024-01-05,-230339.0,PAiMt-lOYeR*REF3459246*AGBAF,LOYER,0
2,2024-01-05,-7254.0,OONa  chOP,CHOP,0
2,2024-01-06,-835.0,pmt-TAXi,TRANSPORT,0
2,2024-01-07,765836.0,EnnCASxtt_SAlr REF56,SALAIRE,0
2,2024-01-08,-2731.0,TaXI.fOrTREF139740TPE75861,TRANSPORT,0
2,2024-01-09,-75483.0,REt.GAB*MOmO/snd*SHArp  shArp/ZEF8133367,MOMO,0
2,2024-01-11,-14842.0,dep.moMO/REF223$572/TPE11078/2/07,MOMO,0
2,2024-01-12,-3303.0,rEt GaB oM reT NgA REF,MOMO,0
2,2024-01-13,-8605.0,viR*FaCT.ca,EAU,0
2,2024-01-15,-8150.0,Pmt MarCHe cHop mAMaAGDLA13/01,CHOP,0
2,2024-01-16,-24158.0,TRf pRv ChOp**REFF1225454*TPE88306,CHOP,0
2,2024-01-17,911213.0,DebVir*SAlr*,SALAIRE,0
2,2024-01-19,26303.0,encAsxt OR*mON.,MOMO,0
2,2024-01-19,-35953.0,trf.mISemOTo.bEtREF4957834656****47,PARI,0
2,2024-01-22,-4064.0,pMT.Taxi.ForT REF5130796 05/11,TRANSPORT,0
2,2024-01-27,-42215.0,eNcASxT*NanguI  dEs sIstA9*REF1053969*AGBUE*TPE13748,NJANGUI,0
2,2024-01-31,-11662.0,pAImT_CouRAnt/REF560691/AGBUE/23/02,ELEC,0
2,2024-02-01,-1009317.0,pMt  paiemenT loYErBaiL REF4816211 AGBEER TPE9000,LOYER,0
2,2024-02-02,-29900.0,cOuRANT/RREF6184329/AAGDLA/TPE53339,ELEC,0
2,2024-02-08,-24539.0,oPR.mRcH/cHOOP*MaMa REF6799050 AGGAR 08/04,CHOP,0
2,2024-02-09,-12233.0,PRV/ALiMEnT*REF2001489*TE27005,CHOP,0
2,2024-02-09,-3519.0,NCaSXt Moto ShArP/REF8748230/TPE90293X20/01,TRANSPORT,0
2,2024-02-14,310489.0,pmT  VIRREF112046918/03,SALAIRE,0
2,2024-02-16,-7710.0,ENCasxtpaRi*,PARI,0
2,2024-02-16,-30113.0,EnCAsxt_PMUc/pARi/REF249887/TPE75024/670****68/16/04,PARI,0
2,2024-02-17,-10421.0,PMT MchE ChoP MAMa*REF6823326*AGKRI,CHOP,0
2,2024-02-21,-3825.0,TaXi/REF635,TRANSPORT,0
2,2024-02-21,47821.0,oM.CASH/Pour/mOLAAGEBWT,MOMO,0
2,2024-02-21,-88605.0,loyeR/men,LOYER,0
2,2024-02-22,-48886.0,FACeNE REF9946308 AGMAR,ELEC,0
2,2024-02-24,320411.0,virt  sal employEur,SALAIRE,0
2,2024-02-24,985923.0,DEb PaiE meNSuelLe REF9134634 AGMAR 17/10,SALAIRE,0
2,2024-02-25,-11722.0,ach/TPE*cHopMarche/REF7790283/AGNGD/TPE3237,CHOP,0
2,2024-02-26,-719100.0,rET gaB MAIson,LOYER,0
2,2024-02-27,391691.0,reT GaB ViRemenT Sa,SALAIRE,0
2,2024-03-02,254411.0,PMtvIrt*REF1711758*AGKRI,SALAIRE,0
2,2024-03-05,-7858.0,$RV-CHOOp,CHOP,0
2,2024-03-08,-2789.0,b*T Les mbOM*REF2412648*TPE68830*691****79*15/02,PARI,0
2,2024-03-08,-61552.0,eNVOIE*MOmo/A,MOMO,0
2,2024-03-09,-13503.0,MARcHE*cHOp.mamAREF74356501/09,CHOP,0
2,2024-03-09,-30186.0,ret.gAb.PaRi-Pour.gagnEr  shaRP/REF5979634/TPE72852/12/08,PARI,0
2,2024-03-09,-12546.0,vIr/COuRSesMEnAge/18/06,CHOP,0
2,2024-03-11,-9715.0,rET  GAB.AcHHT.Mrch AGNGD TPX5199,CHOP,0
2,2024-03-12,19629.0,PAiMT_PETiT dAsh/shaRP,DASH,0
2,2024-03-13,-24816.0,oPR.Bet sharp-sHaRpRE,PARI,0
2,2024-03-14,-3889.0,CaMXAter*REF8561604*TPE76245,EAU,0
2,2024-03-14,-11234.0,eNCAsxT AcH mArcHe REF4697971,CHOP,0
2,2024-03-15,94716.0,aCh_TpE_MOmosenDshAX_S,MOMO,0
2,2024-03-15,-32155.0,paiMt-ELECTRIcitE*AGBE,ELEC,0
2,2024-03-19,-20817.0,coUrseS.mENaGEREF9544132AGKRI13/11,CHOP,0
2,2024-03-25,-593.0,RET_gabMotO_sHARp*AG,TRANSPORT,0
2,2024-03-25,-2268.0,Paimt Taxi FORt*REF2121735*TPE46249,TRANSPORT,0
2,2024-03-26,-4528.0,Opr  MotO ShArP/REF7058556,TRANSPORT,0
3,2024-01-01,39281.0,vIR.oR-MOnEnvoi REF3269837 AGBER TPE14315 659*Z**41 05/0,MOMO,0
3,2024-01-03,-6901.0,AcH  Tpe  f,AGIOS,0
3,2024-01-10,-53392.0,tRF  mOmo*SEND shARp*s9ARp*REF20076498*TPE36524,MOMO,0
3,2024-01-11,-7520.0,opR-fraIs-dCv,AGIOS,0
3,2024-01-12,-20561.0,rbsT  pR99t,DASH,0
3,2024-01-14,-6764.0,deb AgIoS*REF5548382*TPE5435*08/10,AGIOS,0
3,2024-01-18,-11836.0,ChOP dU.jOurR,CHOP,0
3,2024-01-18,39795.0,pAiMT/Dep mOmO REF9616270 TPE75689 650****80,MOMO,0
3,2024-01-23,-17526.0,miSE mOTo BeT REF748,PARI,0
3,2024-01-24,-13864.0,PaiMT Dash*aVAnt,DASH,0
3,2024-01-24,-1364223.0,LoYErMeNsuEl REFF3825932 TPEE44237 20/06,LOYER,0
3,2024-01-27,-58834.0,enCASxT/remBOurse,DASH,0
3,2024-02-06,-39070.0,TRF-AHT_DivERs*REF6573213*AGBAF*TPE2253*16/11,PARI,1
3,2024-02-11,-3175.0,deb_Taxi_FORt*REF1017576*AGNGD*TPE75182,TRANSPORT,0
3,2024-02-11,-47264.0,EnEO/pREPAiD,ELEC,0
3,2024-02-20,-31015.0,dPt_Pmuc/TPE46790/23/06,PARI,0
3,2024-02-20,-31655.0,tRf rEtr Om*,MOMO,0
3,2024-02-27,740773.0,PAIe_MensUEl9e REF269671,SALAIRE,0
3,2024-02-27,-45546.0,ReTgAB-eNEo/prEp,ELEC,0
3,2024-02-28,869890.0,eNCAsxt vIRT/sal*eMPl,SALAIRE,0
3,2024-02-28,-18772.0,ENcAsxT/ProV.aLIMeNt AGBUE TPE51142,CHOP,0
3,2024-03-04,-11911.0,ach tPe,EAU,0
3,2024-03-04,53670.0,PAimT  SaLR REF3568856 TPE37560 02/03,SALAIRE,0
3,2024-03-04,-87784.0,PaiMt-ENVOiEMOMO AU-bOssAGKRI,MOMO,0
3,2024-03-04,-13869.0,ach.TPEmiSe*1XbET 667****35,PARI,0
3,2024-03-05,-7357.0,acH*tpE*,CHOP,0
3,2024-03-08,10245.0,trF  pret.FaM/TPE9859/6,DASH,0
3,2024-03-11,-4753.0,ACh/tpe.dEP.BEnSKIN R,TRANSPORT,0
3,2024-03-13,290442.0,vIRt.SaL_eMPLoY,SALAIRE,0
3,2024-03-13,-38435.0,OPr  pAR$.POUr  GAgnEr.SHaRP*22/06,PARI,0
3,2024-03-15,-23629.0,ACH-tpe*ENE,ELEC,0
3,2024-03-17,164900.0,EncAsxT vi,SALAIRE,0
3,2024-03-18,-42455.0,reT*gAb  mtN CASHde*REF6658398*AGBER*TPE854788*658****92,MOMO,0
3,2024-03-22,566880.0,ViRt Sal EmPLoyEur REF6387675 AGBUE,SALAIRE,0
3,2024-03-22,-28819.0,aCh/TPE-FCT.eNEOREF8761254AGBAFTPE21777,ELEC,0
3,2024-03-28,-3901.0,TaXIREF1811038AGDLA,TRANSPORT,0
4,2024-01-06,66595.0,Opr/DAssh AvaNtsAlr/REF2775832/690****34/06/03,DASH,0
4,2024-01-10,-3255.0,PAiMT-prOV_cHopREF7368558AGYDETPE20043,CHOP,0
